36900,38700
42300,44100
47700,49500
58500,60300
63900,65700
69300,71100
123300,125100
128700,130500
134100,135900
144900,146700
150300,152100
155700,157500
209700,211500
215100,216900
220500,222300
231300,233100
236700,238500
242100,243900
296100,297900
301500,303300
306900,308700
317700,319500
323100,324900
328500,330300
382500,384300
387900,389700
393300,395100
404100,405900
409500,411300
414900,416700
468900,470700
474300,476100
479700,481500
490500,492300
495900,497700
501300,503100
555300,557100
560700,562500
566100,567900
576900,578700
582300,584100
587700,589500
